단지명,회사명,공장대표주소(도로명),전화번호
천안제4일반산업단지,(주)인테크놀로지,"충청남도 천안시 서북구 직산읍 4산단5길 25-7, C동 104호",041-552-0447
천안백석농공단지,퍼펙트,"충청남도 천안시 서북구 백석공단4길 12, 1동 1층 (백석동, 신화공업)",041-552-0238
천안백석농공단지,(주)우리테크,충청남도 천안시서북구 백석동 555-45번지,041-552-0030
천안백석농공단지,(주)이넥스,충청남도 천안시 서북구 백석공단4길 15 (백석동),041-552-0001
천안백석농공단지,(주)새롬에프티,"충청남도 천안시 서북구 백석공단1로 70, 다동 (백석동)",041-551-9596
천안마정일반산업단지,대성이엔티(주),충청남도 천안시서북구 직산읍 마정리 492번지,041-551-9239
천안제3일반산업단지,(주)더이엔지,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 207, 436, 440호 (백석동)",041-551-8581
천안제3일반산업단지,(주)성진디앤피,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 601호 (백석동)",041-551-5753
천안제5일반산업단지,상상한우 농업회사법인 주식회사,충청남도 천안시 동남구 성남면 5산단1로 81,041-551-3488
천안마정일반산업단지,천안특수도장,충청남도 천안시 서북구 직산읍 마정1길 35,041-551-1997
천안풍세일반산업단지,(주)백신산업,"충청남도 천안시 동남구 풍세면 풍세산단2로 50-8, 풍세일반산업단지 A16-2",041-551-1851
천안풍세일반산업단지,(주)서연테크,충청남도 천안시 동남구 풍세면 풍세산단1로 20,041-551-1016
천안풍세일반산업단지,주식회사 한국페잇,충청남도 천안시 동남구 풍세면 풍세산단1로 20,041-551-0992
천안산업기술일반산업단지,포씨테크(주),"충청남도 천안시 서북구 직산읍 직산로 136, 차세대에너지센타 212호 (천안밸리)",041-551-0153
천안풍세일반산업단지,대상푸드플러스(주),충청남도 천안시 동남구 풍세면 용정리 997번지,041-550-7900
천안풍세일반산업단지,(주)엠에이치앤코,충청남도 천안시 동남구 풍세면 풍세산단로 26,041-550-5570
천안백석농공단지,대윤테크놀로지(주),충청남도 천안시서북구 백석동 555-27번지,041-550-3835
천안산업기술일반산업단지,디지정보시스템,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 창업보육센터 정보영상융합센터 410호",041-549-0998
천안제3일반산업단지,(주)디바이스이엔지,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 502,503호 (백석동)",041-548-9848
천안제3일반산업단지,로보스,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 1009,1010호 (백석동)",041-548-9848
천안제3일반산업단지,나이스텍(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 331호 (백석동)",041-547-9010
천안산업기술일반산업단지,주식회사 태영금속,"충청남도 천안시 서북구 직산읍 직산로 136, 생산관 3312호(충남테크노파크)",041-547-7168
천안풍세일반산업단지,(주)제이케이씨,충청남도 천안시 동남구 풍세면 풍세산단로 182,041-547-1855
천안제3일반산업단지,(주)세진아이지비,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 322호 (백석동)",041-547-1825
천안제3일반산업단지,세종기술 주식회사,"충청남도 천안시 서북구 백석공단1로 10, M동 438호(백석동, 천안 미래에이스하이테크시티)",041-546-2188
천안제2일반산업단지,카호코리아 주식회사,"충청남도 천안시 서북구 2공단2로 95, 1동 2층 205호(차암동, 천안테크노타운) 1동 2층 205호",041-545-5411
천안제2일반산업단지,광명엔지니어링(주) ,충청남도 천안시 서북구 2공단1로 155 (차암동),041-544-8613
천안풍세일반산업단지,(주)푸르온,충청남도 천안시 동남구 풍세면 용정리 998번지,041-544-4965
천안산업기술일반산업단지,주식회사 엠티에스,충청남도 천안시 서북구 직산읍 직산로 136 (재)충남테크노파크천안밸리 번영관 3302호,041-544-1064
천안제4일반산업단지,주식회사 엘림,"충청남도 천안시 서북구 직산읍 4산단5길 25-12, C동 108호",041-542-9236
천안제3일반산업단지,성호테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B129,130호 (백석동)",041-542-8135
천안제3일반산업단지,(주)청명환경시스템,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 502호 (백석동)",041-542-8032
천안5산단외국인투자지역,피에이치에이에차(유),충청남도 천안시 동남구 수신면 5산단1로 180,041-542-2620
천안제2일반산업단지,주식회사 미래정보산업,"충청남도 천안시 서북구 2공단2로 95, 1동 5층 501호(차암동, 천안테크노타운) 1동 5층 501호",041-542-1197
천안백석농공단지,와이케이이앤지,"충청남도 천안시 서북구 백석공단6길 36, 3층 1층 (백석동, 동흥전자(주))",041-541-8238
천안백석농공단지,(주)테토스,충청남도 천안시 서북구 백석공단5길 21 (백석동),041-541-2661
천안제3일반산업단지,(주)디쌤,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 1004호 (백석동)",041-541-0041
천안제3일반산업단지,삼성전자(주),충청남도 천안시 서북구 번영로 465 (성성동),041-540-8667
천안백석농공단지,현담산업(주),충청남도 천안시 서북구 백석공단1로 61 (백석동),041-539-7294
천안백석농공단지,에스에프에이서비스(주),"충청남도 천안시 서북구 백석공단7로 16 (백석동, STS반도체통신(주))",041-538-9601
천안제5일반산업단지,(주)이엔에프테크놀로지,충청남도 천안시 동남구 성남면 대화리 364번지 외 3필지,041-538-3700
천안제3일반산업단지,유니메드제약(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 601,602,603,604,605호 (백석동)",041-537-5500
천안제3일반산업단지,삼성디스플레이(주),"충청남도 천안시 서북구 번영로 465 (성성동, 삼성전자)",041-535-7811
천안제3일반산업단지,삼성디스플레이(주),"충청남도 천안시 서북구 번영로 467 (성성동, 삼성SDI(주))",041-535-7811
천안백석농공단지,(주)석우,"충청남도 천안시 서북구 백석공단5길 25, 101호 (백석동)",041-534-6777
천안제4일반산업단지,씨제이테크,"충청남도 천안시 서북구 직산읍 4산단3로 113, A동",041-534-3415
천안제5일반산업단지,(주)덕산테코피아 천안사업장,충청남도 천안시 동남구 5산단3로 30 (성남면) (주)덕산유엠티 외 1필지,041-533-5660
천안백석농공단지,정광판금,충청남도 천안시 서북구 백석공단1로 69 (백석동),041-532-9890
천안풍세일반산업단지,(주)에이치비테크놀러지,"충청남도 천안시 동남구 풍세면 풍세산단4로 62-6, (풍세일반산업단지A11-2)",041-532-8730
천안백석농공단지,(주)테바,충청남도 천안시 서북구 백석공단1로 42 (백석동),041-532-7605
천안백석농공단지,씨엘텍(주),충청남도 천안시 서북구 백석공단6길 36 (백석동),041-532-3269
천안제3일반산업단지,신영(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 608호 (백석동)",041-532-2072
천안제3일반산업단지,(주)애니트랜스,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 605호 (백석동)",041-532-1692
천안백석농공단지,방주에너지,충청남도 천안시서북구 백석동 555-31 번지,041-531-9634
천안직산농공단지,인테그로,충청남도 천안시 서북구 직산읍 부송1길 55-14 (직산읍),041-531-8855
천안제3일반산업단지,대한이엔지(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B115호 (백석동)",041-531-0370
천안마정일반산업단지,동원금속공업(주),충청남도 천안시서북구 직산읍 마정리 500번지,041-530-3126
천안마정일반산업단지,동원테크(주),충청남도 천안시서북구 직산읍 마정리 500번지 마정산업단지,041-530-3122
천안제3일반산업단지,다우케미칼오엘이디(유),충청남도 천안시 서북구 3공단6로 110 (차암동),041-529-9431
천안제3일반산업단지,롬엔드하스전자재료코리아(유),충청남도 천안시 서북구 3공단6로 130 (차암동),041-529-9431
천안제2일반산업단지,주식회사 녹십자메디스,"충청남도 천안시 서북구 2공단2로 95, 5층 503호 (차암동, 천안테크노타운)",041-529-8403
천안외국인투자지역,롬엔드하스전자재료코리아(유),충청남도 천안시서북구 백석동 736번지 외 1필지 외 1필지,041-529-5615
천안외국인투자지역,롬엔드하스전자재료코리아(유),충청남도 천안시서북구 백석동 735-2번지,041-529-5615
천안동면농공단지,(주)퍼시픽패키지,충청남도 천안시 동남구 동면 충절로 2294-35,041-529-4551
천안풍세일반산업단지,(주)비츠로밀텍,충청남도 천안시 동남구 풍세면 용정리 978번지,041-529-4000
천안백석농공단지,(주)휴민텍,충청남도 천안시 서북구 백석공단6길 47 (백석동),041-529-3830
천안제4일반산업단지,(주)에스앤씨,충청남도 천안시 서북구 직산읍 4산단1길 31,041-529-3800
천안외국인투자지역,(주)ABB코리아,충청남도 천안시 서북구 3공단4로 49 (성성동),041-529-2135
천안5산단외국인투자지역,마페이코리아(유),충청남도 천안시 동남구 수신면 5산단6로 46 외 2필지,041-529-1700
천안백석농공단지,(주)에스에프에이반도체,충청남도 천안시 서북구 백석공단6길 16 (백석동),041-529-0905
천안제2일반산업단지,주식회사 포트로닉스천안,"충청남도 천안시 서북구 2공단3로 15, 성성동 493-3 (성성동)",041-529-0313
천안5산단외국인투자지역,대한파카라이징(주),충청남도 천안시 동남구 성남면 대화리 329번지 330,041-523-9944
천안동면농공단지,코스모(주),충청남도 천안시 동남구 동면 충절로 2294-56,041-523-9881
천안제2일반산업단지,대원하이텍 주식회사,충청남도 천안시 서북구 2공단2로 105 (차암동),041-523-9177
천안제5일반산업단지,(주)제이쓰리,충청남도 천안시 동남구 성남면 대화리 349번지,041-523-8311
천안산업기술일반산업단지,(주)나비바이오텍,"충청남도 천안시서북구 직산읍 삼은리 506 번지 충남테크노파크 번영관 2304호,2305호",041-523-8257
천안천흥일반산업단지,한온시스템(주),충청남도 천안시 서북구 성거읍 천흥8길 67-5,041-523-8001
천안제3일반산업단지,(합)인사랑노무컨설팅,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 811호 (백석동)",041-523-6655
천안제2일반산업단지,명신화학,충청남도 천안시 서북구 2공단2로 85 (차암동),041-523-6031
천안동면농공단지,성우오토텍(주),충청남도 천안시 동남구 동면 충절로 2294-42,041-523-5851
천안제5일반산업단지,주식회사 새로진,충청남도 천안시 동남구 성남면 5산단1로 81,041-523-5249
천안5산단외국인투자지역,(주)티지케이코리아,"충청남도 천안시 동남구 성남면 5산단1로 136, (325,326번지) 외 1필지",041-523-5072
천안풍세일반산업단지,에이씨와이테크놀로지(주),충청남도 천안시 동남구 풍세면 풍세산단로 194,041-523-4413
천안풍세일반산업단지,(주)지엠에스,충청남도 천안시 동남구 풍세면 용정리 1006번지,041-523-3841
천안풍세일반산업단지,(주)덴탈맥스,충청남도 천안시 동남구 풍세면 보성리 710번지,041-523-3580
천안백석농공단지,큐씨레이져,충청남도 천안시 서북구 백석공단1로 69 (백석동),041-523-2856
천안외국인투자지역,티씨씨(주),"충청남도 천안시 서북구 3공단2로 22 (백석동, (주)다모텍)",041-523-2248
천안외국인투자지역,(유)한국타코닉 제2공장 ,"충청남도 천안시 서북구 백석공단2길 80 (백석동, (유)한국타코닉)",041-523-1858
천안백석농공단지,(주)한성이엔지,충청남도 천안시서북구 백석동 555-33번지,041-523-1292
천안제3일반산업단지,삼원콘트롤,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 902호 (백석동)",041-523-0166
천안풍세일반산업단지,(주)케이엔씨,충청남도 천안시 동남구 풍세면 용정리 974번지 (풍세일반산업단지 A12-1),041-522-9673
천안풍세일반산업단지,대명산업,충청남도 천안시 동남구 풍세면 풍세산단2로 27,041-522-9414
천안산업기술일반산업단지,엘에스비엔티,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 중층2203호, 2307호",041-522-9109
천안백석농공단지,주식회사 남일,충청남도 천안시 서북구 백석공단1로 58 (백석동),041-522-8456
천안백석농공단지,(주)서원전원,충청남도 천안시 서북구 백석공단1로 58 (백석동),041-522-8455
천안외국인투자지역,(주)서원,"충청남도 천안시 서북구 백석공단2길 16, 2-105, (주)서원전원 (외국인투자지역, (백석동)",041-522-8455
천안제2일반산업단지,주식회사 허브테크,"충청남도 천안시 서북구 2공단2로 102, 업성동623-6 (업성동)",041-522-7640
천안제4일반산업단지,청강기술,충청남도 천안시서북구 직산읍 신갈리 280번지,041-522-7357
천안제4일반산업단지,제일윈텍(주),충청남도 천안시서북구 직산읍 신갈리 266번지,041-522-7024
천안제5일반산업단지,대신메탈라이징(주) 천안공장,충청남도 천안시 동남구 성남면 5산단1로 84,041-522-7024
천안제5일반산업단지,한국엠씨(주),충청남도 천안시 동남구 수신면 5산단4로 66,041-522-6812
천안풍세일반산업단지,(주)플로우텍,"충청남도 천안시 동남구 풍세면 풍세산단3로 79, (용정리 1009) 외 1필지",041-522-6772
천안산업기술일반산업단지,(주)성윤티에스,"충청남도 천안시 서북구 직산읍 직산로 136, 2403호(번영관)",041-522-5971
천안마정일반산업단지,(주)엠앤브이코리아,충청남도 천안시 서북구 직산읍 마정1길 46,041-522-5652
천안제3일반산업단지,(주)센텍,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 713, A동 802,803호 (백석동)",041-522-5610
천안백석농공단지,(주)스냅팩,충청남도 천안시서북구 백석동 555-31번지,041-522-5601
천안천흥일반산업단지,(주)파커스,충청남도 천안시 서북구 성거읍 천흥8길 12 (천흥공단),041-522-5361
천안천흥일반산업단지,(주)파커스 2공장,충청남도 천안시 서북구 성거읍 천흥8길 49,041-522-5361
천안제3일반산업단지,하나전산 주식회사,"충청남도 천안시 서북구 백석공단1로 10, M동 4층 402 (백석동) 천안미래에이스하이테크시티 M동 402호",041-522-4550
천안제3일반산업단지,오병이어비전(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 1001호 (백석동)",041-522-4001
천안제2일반산업단지,엘에스엠(주),"충청남도 천안시 서북구 2공단3로 15, C동 3층 (성성동)",041-522-3915
천안산업기술일반산업단지,(주)엘라이트,충청남도 천안시 서북구 직산읍 직산로 136 (재)충남테크노파크천안밸리 이차전지기술센터 204호,041-5223-3324
천안산업기술일반산업단지,(주)토토로의숲,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 생산관 2304호 (천안밸리)",041-522-3310
천안제2일반산업단지,(주)싸이트로닉,"충청남도 천안시 서북구 2공단2로 95, 507호 (차암동, 천안테크노타운)",041-522-3252
천안제5일반산업단지,(주)세일메카닉스,충청남도 천안시 동남구 성남면 5산단3로 77-9,041-522-3101
천안외국인투자지역,(유)한국타코닉 제1공장 ,"충청남도 천안시 서북구 3공단2로 12(백석동, (유)한국타코닉) 외 1필지",041-522-1858
천안외국인투자지역,(유)한국타코닉(제3공장),"충청남도 천안시 서북구 3공단2로 33 (백석동, (유)한국타코닉)",041-522-1858
천안제3일반산업단지,시온테크,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 340호 (백석동)",041-522-1408
천안제2일반산업단지,토와한국 주식회사,충청남도 천안시 서북구 2공단2로 86 (차암동),041-521-0900
천안제2일반산업단지,주식회사 에스에프에이반도체,충청남도 천안시 서북구 2공단7길 30 (차암동),041-520-8386
천안제5일반산업단지,삼영순화(주),충청남도 천안시 동남구 성남면 대화리 355번지,041-520-8000
천안백석농공단지,주식회사 에스에프에이반도체,충청남도 천안시 서북구 백석공단7로 16 (백석동),041-520-7432
천안제3일반산업단지,워터솔루션즈(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 1001호 (백석동)",041-478-5132
천안백석농공단지,이에스산전(주),충청남도 천안시 서북구 백석공단3길 12 (백석동),041-425-1414
천안풍세일반산업단지,(주)비케이,충청남도 천안시 동남구 풍세면 풍세산단3로 73,041-418-9603
천안제3일반산업단지,주식회사 지알에스,"충청남도 천안시 서북구 백석공단1로 10, A동706호(백석동, 천안 미래에이스하이테크시티)",041-418-5021
천안산업기술일반산업단지,하이쎄미코(주),"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 성공관 107호",041-418-3888
천안마정일반산업단지,동아수지3호 태양광발전소,충청남도 천안시 서북구 직산읍 금곡로 52-5,041-417-7801
천안산업기술일반산업단지,케이엔테크,"충청남도 천안시 서북구 직산로 136, 정보영상융합센터 연구동 509,510호 (직산읍)",041-417-7045
천안제5일반산업단지,씨엔엠테크(주),충청남도 천안시 동남구 수신면 5산단4로 34,041-417-4451
천안제4일반산업단지,(주)드리미,충청남도 천안시 서북구 직산읍 4산단5길 17,041-417-3000
천안제3일반산업단지,파워오토메이션 주식회사,"충청남도 천안시 서북구 백석공단1로 10, M209호(백석동, 천안 미래에이스하이테크시티)",041-417-0155
천안풍세일반산업단지,주식회사 한강테크,충청남도 천안시 동남구 풍세면 풍세산단3로 20,041-417-0039
천안제2일반산업단지,주식회사 리드원,"충청남도 천안시 서북구 2공단2로 95 (차암동, 천안테크노타운) 1동 2층 203호",041-417-0004
천안풍세일반산업단지,(주)이안푸드,충청남도 천안시 동남구 풍세면 용정리 994번지,041-415-2699
천안마정일반산업단지,(주)제이림,충청남도 천안시 서북구 직산읍 금곡로 52-15,041-415-2529
천안제5일반산업단지,(주)큐엔탑,충청남도 천안시 동남구 성남면 5산단2로 119,041-415-2042
천안제5일반산업단지,(주)창성코리아,충청남도 천안시 동남구 수신면 5산단5로 15,041-415-1757
천안제3일반산업단지,하나네트웍스(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 415호 (백석동)",041-415-1585
천안제3일반산업단지,(주)에이치케이티,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 B131호 (백석동)",041-415-1337
천안풍세일반산업단지,풍세산업(주),충청남도 천안시 동남구 풍세면 풍세산단로 226-30,041-415-1199
천안풍세일반산업단지,(주)지텍,충청남도 천안시 동남구 풍세면 풍세산단1로 6,041-415-1113
천안풍세일반산업단지,와이,충청남도 천안시 동남구 풍세면 풍세산단로 233,041-415-1112
천안제2일반산업단지,(주)비엘엠콘택트,"충청남도 천안시 서북구 2공단2로 102, 1층 (차암동)",041-415-0852
천안제5일반산업단지,유펙스켐(주),충청남도 천안시 동남구 수신면 5산단4로 38,041-415-0770
천안제3일반산업단지,에이원이엔지(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 711,712호 (백석동)",041-415-0611
천안산업기술일반산업단지,주식회사 투인리브,"충청남도 천안시 서북구 직산읍 직산로 136, 611호, 612호(정보영상융합센터)",041-415-0092
천안풍세일반산업단지,아이피유브이(주),충청남도 천안시 동남구 풍세면 풍세산단로 128,041-415-0089
천안산업기술일반산업단지,농업회사법인 주식회사 천마,"충청남도 천안시 서북구 직산읍 직산로 136, 충남테크노파크 번영관 2101, 2102, 2103호 (천안밸리)",041-415-0005
천안목천농공단지,주식회사 지앤피우드,충청남도 천안시 동남구 목천읍 학수소사길 219-28 (주)진로산업,041-414-9100
천안제3일반산업단지,노리시스템(주),"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 501호 (백석동)",041-414-7650
천안제3일반산업단지,(주)로드키네마틱스,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 B동 1005호 (백석동)",041-414-7130
천안마정일반산업단지,주식회사 가호,충청남도 천안시 서북구 직산읍 금곡로 52-11 (주)신화정밀,041-414-7119
천안백석농공단지,주식회사  제이엠코스메틱,충청남도 천안시 서북구 백석공단3길 34 (백석동),041-414-1090
천안백석농공단지,(주)씨에이테크,충청남도 천안시 서북구 백석공단4길 8(백석동),041-414-0830
천안제3일반산업단지,테오메인,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 A동 611,612호 (백석동)",041-414-0465
천안백석농공단지,회명산업 주식회사,충청남도 천안시 서북구 백석공단3길 50(백석동),041-413-2551
천안제4일반산업단지,회명산업(주),"충청남도 천안시 서북구 직산읍 4산단1길 31, (5동)",041-413-2551
천안백석농공단지,에이치엠옵틱스(주),충청남도 천안시 서북구 백석공단3길 50 (백석동),041-413-2548
천안외국인투자지역,에이치엠옵틱스(주),충청남도 천안시 서북구 백석공단7로 37 (백석동) 회명산업(주),041-413-2547
천안외국인투자지역,회명산업(주),충청남도 천안시 서북구 백석공단7로 37 (백석동),041-413-2547
천안제3일반산업단지,(주)다우에프에이,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 417,418,419,420,421,422,423,424,425호, B동 508,509호 (백석동)",041-412-8801
천안제2일반산업단지,한국후지필름일렉트로닉머티리얼즈 주식회사 ,"충청남도 천안시 서북구 2공단3로 79, 업성동624-3외 1필지(차암동4-3) (업성동)",041-412-7770
천안제4일반산업단지,(주)엑시콘 천안지점,충청남도 천안시 서북구 직산읍 4산단6길 15,041-412-7500
천안외국인투자지역,(주)메가터치,충청남도 천안시서북구 백석동 710 번지 외 1필지,041-412-7149
천안제4일반산업단지,(주)파인텍 천안제1사업장,충청남도 천안시 서북구 직산읍 4산단6길 67,041-412-6702
천안제4일반산업단지,(주)대성이앤지 직산2공장,충청남도 천안시 서북구 직산읍 2공단5로 97-30,041-412-2615
천안제4일반산업단지,(주)대성이앤지,충청남도 천안시 서북구 직산읍 2공단5로 117-16,041-412-2600
천안제4일반산업단지,(주)일광,충청남도 천안시 서북구 직산읍 4산단3로 27,041-411-6522
천안5산단외국인투자지역,한국엔에스케이 주식회사,충청남도 천안시 동남구 수신면 5산단7로 11 외 7필지,041-411-6200
천안제2일반산업단지,소니드 주식회사,충청남도 천안시 서북구 2공단7길 50 (차암동),041-410-7777
천안천흥일반산업단지,(주)큐에스아이,충청남도 천안시 서북구 성거읍 천흥8길 17 (큐에스아이(주)),041-410-5010
천안제5일반산업단지,(주)애니원,충청남도 천안시 동남구 수신면 5산단6로 45,041-410-3500
천안풍세일반산업단지,(주)피엔에스윈도우,충청남도 천안시 동남구 풍세면 풍세산단5로 61,041-410-2200
천안제4일반산업단지,(주)제이스텍(천안사업장),충청남도 천안시 서북구 직산읍 2공단5로 117-26,041-410-2000
천안외국인투자지역,하나머티리얼즈(주) 2공장,충청남도 천안시 서북구 3공단3로 50 (백석동),041-410-1020
천안외국인투자지역,하나머티리얼즈(주),"충청남도 천안시 서북구 3공단3로 42, (백석동 711-1, 711) (백석동) 외 1필지",041-410-1013
천안제3일반산업단지,(주)온셀텍,충청남도 천안시 서북구 3공단6로 86-9 (차암동),041-410-0160
천안제3일반산업단지,(주)제이뷰티,충청남도 천안시 서북구 백석공단1로 10 (백석동) B동 10F층 1010호,041-355-4750
천안산업기술일반산업단지,실버텍(주),충청남도 천안시서북구 직산읍 삼은리 43-5번지 충남테크노파크 생산관 3312호,041-1644-7377
천안산업기술일반산업단지,(주)에이치앤비,충청남도 천안시서북구 직산읍 삼은리 43-1 번지 충남테크노파크 번영관 2401호,041-1577-4580
천안제4일반산업단지,(주)미래코리아,충청남도 천안시 서북구 직산읍 4산단3로 120,032-812-6073
천안제4일반산업단지,(주)승일,충청남도 천안시서북구 직산읍 신갈리 256번지,032-578-1811
천안풍세일반산업단지,(주)아이디시스템,충청남도 천안시 동남구 풍세면 풍세산단4로 28,032-525-0761
천안백석농공단지,(주)이알테크,충청남도 천안시 서북구 백석공단3길 55 (백석동),032-328-0048
천안천흥일반산업단지,(주)이데아무역,충청남도 천안시 서북구 성거읍 천흥8길 12 (천흥공단),032-322-7254
천안제4일반산업단지,코론(주),"충청남도 천안시 서북구 직산읍 4산단5길 11-1, B동 101호",031-977-4048
천안마정일반산업단지,주식회사 지앤,충청남도 천안시 서북구 직산읍 금곡로 52-24,031-949-0970
천안마정일반산업단지,주식회사 지앤,충청남도 천안시 서북구 직산읍 금곡로 52-21,031-949-0970
천안풍세일반산업단지,수경화학(주),충청남도 천안시 동남구 풍세면 용정리 1000번지,031-819-9781
천안제3일반산업단지,에이피시스템(주) 천안지점,"충청남도 천안시 서북구 백석공단1로 10, M동 325호(백석동, 천안 미래에이스하이테크시티)",031-8047-5689
천안풍세일반산업단지,(주)에이텍솔루션,충청남도 천안시 동남구 풍세면 풍세산단로 222,031-8015-2072
천안풍세일반산업단지,(주)에이텍솔루션 천안제2공장,충청남도 천안시 동남구 풍세면 보성리 808번지,031-8015-2072
천안풍세일반산업단지,(주)성신오토모티브,충청남도 천안시 동남구 풍세면 풍세산단3로 20,031-676-9133
천안제2일반산업단지,주식회사 비엠퓨어,"충청남도 천안시 서북구 2공단8길 45, 업성동 623-5 (업성동)",031-674-4300
천안산업기술일반산업단지,주식회사 케이티엘,"충청남도 천안시 서북구 직산읍 직산로 136, 번영관 4201호, 4202호, 4203호",031-671-1811
천안천흥일반산업단지,한진전자공업 주식회사,충청남도 천안시 서북구 성거읍 천흥8길 67-5,031-665-1170
천안마정일반산업단지,주식회사 스톤비랩,"충청남도 천안시 서북구 직산읍 마정1길 2, 3동",031-628-7848
천안제5일반산업단지,(주)태원 천안2공장,충청남도 천안시 동남구 성남면 대화리 369-1번지,031-499-1357
천안제5일반산업단지,(주)태원 천안공장,충청남도 천안시 동남구 성남면 대화리 369번지,031-499-1357
천안제5일반산업단지,(주)한수,충청남도 천안시 동남구 성남면 대화리 362번지,031-492-7800
천안제4일반산업단지,(주)신한프랜트엔지니어링,충청남도 천안시서북구 직산읍 신갈리 258번지,031-488-8001
천안백석농공단지,월드플랜트(주),충청남도 천안시 서북구 백석공단3길 34 (백석동),031-438-0291
천안제4일반산업단지,(주)성호스텐,충청남도 천안시 서북구 직산읍 4산단3로 111,031-434-5661
천안제3일반산업단지,주식회사 딕스젠,"충청남도 천안시 서북구 백석공단1로 10, 천안미래에이스하이테크시티 M동 337호 (백석동)",031-423-8450
천안제3일반산업단지,주식회사 오픈에스지,"충청남도 천안시 서북구 백석공단1로 10, M동 406호(백석동, 천안 미래에이스하이테크시티)",031-373-2612
천안풍세일반산업단지,(주)티티에스,충청남도 천안시 동남구 풍세면 용정리 1007번지,031-366-6030
천안제5일반산업단지,대흥특수화학(주),충청남도 천안시 동남구 성남면 대화리 359번지,031-366-1581
천안제4일반산업단지,주식회사 그린알텍,충청남도 천안시 서북구 직산읍 4산단4로 27,031-357-7916
천안백석농공단지,(주)생명과기술,"충청남도 천안시 서북구 백석공단3길 66, B동 (백석동)",031-352-2341
천안마정일반산업단지,(주)지엔아이마이크로웨이브,충청남도 천안시 서북구 직산읍 마정1길 46,031-335-7066
천안제4일반산업단지,(주)양우엔피에스,충청남도 천안시 서북구 직산읍 4산단3로 36-6 ((주)양우엔피에스),031-319-0171
천안마정일반산업단지,(주)동아수지,충청남도 천안시 서북구 직산읍 금곡로 52-5,031-223-7853
천안풍세일반산업단지,(주)한성엔지니어링,충청남도 천안시 동남구 풍세면 풍세산단로 245,031-216-2526
천안천흥일반산업단지,동하산업(주),충청남도 천안시서북구 성거읍 천흥리 322-2번지,02-798-2111
천안제5일반산업단지,포스코대우,충청남도 천안시 동남구 성남면 5산단2로 134,02-759-3497
천안풍세일반산업단지,(주)삼양사,충청남도 천안시 동남구 풍세면 보성리 0-0번지 풍세일반산업단지 Z4-1,02-740-7191
천안백석농공단지,게임피아(주),충청남도 천안시서북구 백석동 555-13번지,02-712-0822
천안백석농공단지,(주)피앤아이휴먼코리아,충청남도 천안시 서북구 백석공단3길 55 (백석동),02-6426-3122
천안제4일반산업단지,(주)원방테크,충청남도 천안시 서북구 직산읍 신갈리 240번지,02-6230-7112
천안산업기술일반산업단지,(주)시맨틱스,충청남도 천안시서북구 직산읍 삼은리 511번지 충남테크노파크 영상미디어센터 6층,02-6000-6002
천안풍세일반산업단지,(주)용비통상,충청남도 천안시 동남구 풍세면 보성리 708번지 (풍세일반산업단지 A17-1),02-576-6022
